Question,Answer
rtgs,RTGS (Real Time Gross Settlement) enables real-time high-value fund transfers between banks.
neft,NEFT (National Electronic Funds Transfer) allows electronic transfer of funds between bank accounts.
imps,IMPS (Immediate Payment Service) provides instant 24x7 fund transfers.
upi,UPI (Unified Payments Interface) enables instant bank-to-bank payments using mobile apps.
kyc,KYC (Know Your Customer) is the process of verifying a customer's identity.
ifsc,IFSC is an 11-character code used to identify bank branches in India.
micr,MICR is a code used for cheque processing and bank branch identification.
credit score,A credit score is a number that represents a person's creditworthiness.
cibil,CIBIL is one of India's major credit information companies.
mortgage,A mortgage is a loan secured by property or real estate.
home loan,A home loan is borrowed money used to purchase a house.
personal loan,A personal loan is an unsecured loan for personal expenses.
education loan,An education loan helps finance higher education expenses.
vehicle loan,A vehicle loan is used to purchase cars or other vehicles.
emi,EMI (Equated Monthly Installment) is a fixed monthly loan repayment amount.
fixed deposit,A Fixed Deposit offers a fixed interest rate for a specified duration.
recurring deposit,A Recurring Deposit allows regular monthly investments with fixed returns.
savings account,A savings account helps individuals save money while earning interest.
current account,A current account is designed for businesses with frequent transactions.
debit card,A debit card allows spending directly from a linked bank account.
credit card,A credit card allows borrowing funds up to a credit limit.
prepaid card,A prepaid card contains preloaded funds for transactions.
net banking,Net banking allows customers to access banking services online.
mobile banking,Mobile banking enables banking through smartphone applications.
internet banking,Internet banking provides online access to banking services.
repo rate,Repo rate is the interest rate at which RBI lends money to commercial banks.
reverse repo rate,Reverse repo rate is the interest rate at which RBI borrows money from banks.
bank rate,Bank rate is the rate at which RBI lends long-term funds to banks.
cash reserve ratio,CRR is the percentage of deposits banks must keep with RBI.
statutory liquidity ratio,SLR is the percentage of deposits banks must maintain in liquid assets.
npa,NPA (Non-Performing Asset) is a loan where repayments have stopped.
collateral,Collateral is an asset pledged as security for a loan.
credit risk,Credit risk is the possibility that a borrower may fail to repay a loan.
default,Default occurs when a borrower fails to repay debt obligations.
interest rate,Interest rate is the cost of borrowing money expressed as a percentage.
compound interest,Compound interest is interest calculated on principal and accumulated interest.
simple interest,Simple interest is calculated only on the principal amount.
loan tenure,Loan tenure is the duration over which a loan must be repaid.
foreclosure,Foreclosure means repaying a loan before its scheduled end date.
balance transfer,Balance transfer moves outstanding debt from one lender to another.
cheque,A cheque is a written order directing a bank to pay money.
demand draft,A demand draft is a prepaid negotiable instrument issued by a bank.
swift,SWIFT is an international network for secure financial messaging.
nominee,A nominee is a person designated to receive assets in case of the account holder's death.
overdraft,An overdraft allows withdrawal beyond the available account balance.
atm,ATM (Automated Teller Machine) allows cash withdrawal and banking transactions.
bank statement,A bank statement is a record of account transactions.
passbook,A passbook records account transactions for savings accounts.
digital wallet,A digital wallet stores payment information electronically.
fraud,Fraud refers to dishonest activities intended to obtain financial gain illegally.
